job_title,company_name,company_domain,company_profile_url,job_location,job_url,date_posted,seniority,employment_type,employee_size,platform,search_title,search_country
"Senior Manager, Email Lifecycle Strategy",ServiceNow,,,"Santa Clara, CA 95054",https://www.indeed.com/viewjob?jk=381148d845a87b5e,2026-07-17T20:51:24.695Z,,Full-time,N/A,Indeed,Email Marketer,United States
CRM Marketing Specialist,Go Fish Digital,,,Remote,https://www.indeed.com/viewjob?jk=3075ac137dc162b5,2026-07-15T20:07:11.270Z,,"Part-time, Full-time, Contract",N/A,Indeed,Email Marketer,United States
"Email Production Coordinator part-time, temp role",T3 Services Group,,,Remote,https://www.indeed.com/viewjob?jk=5c126af4db541e24,2026-07-21T12:23:08.076Z,,"Temporary, Permanent, Part-time",N/A,Indeed,Email Marketer,United States
Email Marketing Specialist (Enrollment Marketing & Communications),University of Florida,,,"341 Tigert Hall 300 SW 13th St, Gainesville, FL 32611",https://www.indeed.com/viewjob?jk=7632183750e76ee0,2026-07-21T12:23:12.298Z,,Full-time,N/A,Indeed,Email Marketer,United States
Email Marketing Specialist,Ameris Bank,,,"Atlanta, GA",https://www.indeed.com/viewjob?jk=80e6f8cc6789bfa1,2026-07-17T21:53:41.165Z,,Full-time,N/A,Indeed,Email Marketer,United States
Email Marketing & Blast Division Lead,"Kossoris Search, Inc.",,,"Dallas, TX 75244",https://www.indeed.com/viewjob?jk=46b34e32338aa5a1,2026-07-15T14:26:21.566Z,,Full-time,N/A,Indeed,Email Marketer,United States
"Associate Director, Email/SMS and CRM #4886",GRAIL,,,"Menlo Park, CA",https://www.indeed.com/viewjob?jk=07f25aafe3e2156f,2026-07-14T18:13:50.772Z,,Full-time,N/A,Indeed,Email Marketer,United States
Admissions Communications Coordinator,NEOMED,,,"4209 St, OH-44, Rootstown, OH 44272",https://www.indeed.com/viewjob?jk=fc4435b33d574929,2026-07-17T18:53:09.546Z,,Full-time,N/A,Indeed,Email Marketer,United States
Senior Account Coordinator,Dentsu,,,Colorado,https://www.indeed.com/viewjob?jk=c02e63e5d1f35156,2026-07-17T20:15:02.730Z,,Full-time,5500,Indeed,Email Marketer,United States
Email martketing and social media specialist,Med Equip,,,"10780 Reading Road, Cincinnati, OH 45241",https://www.indeed.com/viewjob?jk=759a7838a8354e25,2026-07-14T20:24:17.030Z,,"Full-time, Freelance",N/A,Indeed,Email Marketer,United States
Product Marketing Specialist,Blueprint,,,Remote,https://www.indeed.com/viewjob?jk=fdfb805b2e04ed11,2026-07-17T00:35:36.464Z,,,N/A,Indeed,Email Marketer,United States
Senior Email Deliverability Consultant,Braze,,,"New York, NY",https://www.indeed.com/viewjob?jk=f8356852824259c4,2026-07-17T20:19:48.633Z,,,N/A,Indeed,Email Marketer,United States
"Associate Marketing Manager, Email and Digital Channels",Liberty Mutual,,,"28 Liberty St, New York, NY 10005",https://www.indeed.com/viewjob?jk=c926426068820b3c,2026-07-15T21:17:17.682Z,,Full-time,N/A,Indeed,Email Marketer,United States
Enrollment Communications Manager - Our Lady of the Lake University,Our Lady of the Lake University,,,"411 SW 24th St, San Antonio, TX 78207",https://www.indeed.com/viewjob?jk=6aff2885859cc713,2026-07-15T04:39:14.546Z,,Full-time,N/A,Indeed,Email Marketer,United States
